Flux Tensor with Split Gaussian Models	0,36	5215277	5212482	369492	367970	86284977	86286499	242712	239917	0,9341	0,9560	0,9449	2795	1522
CwisarDH	1,18	5034937	5032169	440862	439240	86213607	86215229	423052	420284	0,9197	0,9225	0,9211	2768	1622
SubSENSE	0,50	5197678	5194979	360455	358783	86294014	86295686	260311	257612	0,9354	0,9523	0,9438	2699	1672
Self-turning Background Subtraction	0,50	5217371	5214735	364925	363179	86289544	86291290	240618	237982	0,9349	0,9559	0,9453	2636	1746
Flux Tensor with Split Gaussian Models	0,32	7847735	7845106	317484	315781	116221202	116222905	794359	791730	0,9613	0,9081	0,9339	2629	1703
CwisarDH	1,06	7689895	7687239	124774	123193	116413912	116415493	952199	949543	0,9842	0,8898	0,9346	2656	1581
SubSENSE	0,50	8177461	8174679	172398	170699	116366288	116367987	464633	461851	0,9795	0,9462	0,9626	2782	1699
Self-turning Background Subtraction	0,50	5816237	5813728	335351	333712	116203335	116204974	2825857	2823348	0,9457	0,6730	0,7864	2509	1639
Flux Tensor with Split Gaussian Models	0,30	656530	653993	80971	79244	67488136	67489863	14332	11795	0,8919	0,9786	0,9333	2537	1727
CwisarDH	0,93	649493	646754	30923	29259	67538184	67539848	21369	18630	0,9567	0,9681	0,9624	2739	1664
SubSENSE	0,50	629331	626676	18672	16873	67550435	67552234	41531	38876	0,9738	0,9381	0,9556	2655	1799
Self-turning Background Subtraction	0,50	659563	656826	95654	93897	67473453	67475210	11299	8562	0,8749	0,9832	0,9259	2737	1757
Flux Tensor with Split Gaussian Models	0,06	4649431	4646657	616278	614753	366097026	366098551	178759	175985	0,8832	0,9630	0,9213	2774	1525
CwisarDH	-	-	-	-	-	-	-	-	-	-	-	-	2540	1523
SubSENSE	0,50	4689953	4687280	451533	449821	366261771	366263483	138237	135564	0,9124	0,9714	0,9410	2673	1712
Self-turning Background Subtraction	0,50	4351746	4349227	837867	836218	365875437	365877086	476444	473925	0,8387	0,9013	0,8689	2519	1649
Flux Tensor with Split Gaussian Models	0,32	832767	830098	31911	30273	245687708	245689346	718084	715415	0,9648	0,5370	0,6900	2669	1638
CwisarDH	1,03	1179309	1176654	76057	74536	245643562	245645083	371542	368887	0,9404	0,7604	0,8409	2655	1521
SubSENSE	0,50	867881	865127	85215	83529	245634404	245636090	682970	680216	0,9120	0,5596	0,6936	2754	1686
Self-turning Background Subtraction	0,50	1358192	1355600	274399	272761	245445220	245446858	192659	190067	0,8325	0,0055	0,0109	2592	1638
Flux Tensor with Split Gaussian Models	0,36	952474	949863	14048	12457	28405673	28407264	90895	88284	0,9871	0,9129	0,9485	2611	1591
CwisarDH	1,09	936801	934119	17618	15937	28402103	28403784	106568	103886	0,9832	0,8979	0,9386	2682	1681
SubSENSE	0,50	687542	684866	4672	2876	28415049	28416845	355827	353151	0,9958	0,6590	0,7931	2676	1796
Self-turning Background Subtraction	0,50	1000576	998009	112940	111181	28306781	28308540	42793	40226	0,8998	0,9590	0,9284	2567	1759
Flux Tensor with Split Gaussian Models	0,08	18112851	18110286	2509468	2507914	1014280439	1014281993	225146	222581	0,8784	0,9877	0,9298	2565	1554
CwisarDH	-	-	-	-	-	-	-	-	-	-	-	-	2655	1572
SubSENSE	0,50	18112851	18110315	2509468	2507813	1014280439	1014282094	225146	222610	0,8784	0,9877	0,9298	2536	1655
Self-turning Background Subtraction	0,50	17673769	17671064	19741217	19739560	997048690	997050347	664228	661523	0,4724	0,9638	0,6340	2705	1657
Flux Tensor with Split Gaussian Models	0,21	68620	66092	22384	20851	93260671	93262204	8883	6355	0,7602	0,8854	0,8180	2528	1533
CwisarDH	0,72	49464	46791	34778	33157	93248277	93249898	28039	25366	0,5853	0,6382	0,6106	2673	1621
SubSENSE	0,50	67978	65302	35036	33513	93248019	93249542	9525	6849	0,6609	0,8771	0,7538	2676	1523
Self-turning Background Subtraction	0,50	58760	55988	16504	14757	93266551	93268298	18743	15971	0,7914	0,7582	0,7744	2772	1747
  Flux Tensor with Split Gaussian Models	0,22	253173	250639	11942	10203	123950389	123952128	14056	11522	0,9609	0,9474	0,9541	2534	1739
  CwisarDH	0,73	245415	242645	15020	13323	123947311	123949008	21814	19044	0,9480	0,9184	0,9329	2770	1697
  SubSENSE	0,50	246717	243920	8725	7186	123953606	123955145	20512	17715	0,9714	0,9232	0,9467	2797	1539
  Self-turning Background Subtraction	0,50	257705	255021	29930	28156	123932401	123934175	9524	6840	0,9006	0,9644	0,9314	2684	1774
  Flux Tensor with Split Gaussian Models	0,34	1867049	1864326	116414	114669	145526347	145528092	110843	108120	0,9421	0,9440	0,9430	2723	1745
  CwisarDH	1,18	1638779	1636259	39222	37677	145603539	145605084	339113	336593	0,9775	0,8285	0,8969	2520	1545
  SubSENSE	0,50	1552974	1550236	92584	90952	145550177	145551809	424918	422180	0,9446	0,7852	0,8575	2738	1632
  Self-turning Background Subtraction	0,50	1947945	1945233	182522	180739	145460239	145462022	29947	27235	0,9150	0,9849	0,9486	2712	1783
